Name,Longitude,Latitude,Elevation (ft),Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),tdmean (degrees F),vpdmin (hPa),vpdmax (hPa)
MilleLacs,-93.6301,45.938,1240,2001-08,2.6,57.5,69.4,81.3,61.3,0.46,17.65
MilleLacs,-93.6301,45.938,1240,2001-09,2.17,46.2,57,67.7,50.4,0.25,10.62
MilleLacs,-93.6301,45.938,1240,2001-10,2.09,34.4,45,55.6,35.9,0.41,8.4
MilleLacs,-93.6301,45.938,1240,2001-11,2.7,32.4,41.7,50.9,35.2,0.21,6.16
MilleLacs,-93.6301,45.938,1240,2001-12,0.46,16.1,23.6,31.1,19.8,0.13,1.93
MilleLacs,-93.6301,45.938,1240,2002-01,0.03,8.9,18.3,27.7,14.9,0.12,2
MilleLacs,-93.6301,45.938,1240,2002-02,1.85,13.6,23.7,33.9,18.5,0.2,3.03
MilleLacs,-93.6301,45.938,1240,2002-03,2.23,8.4,18.6,28.7,11,0.29,2.92
MilleLacs,-93.6301,45.938,1240,2002-04,3.45,29.8,39.7,49.5,31.8,0.44,6.85
MilleLacs,-93.6301,45.938,1240,2002-05,2.01,38.2,49.4,60.7,36.8,0.84,11.66
MilleLacs,-93.6301,45.938,1240,2002-06,5.8,56.8,66.8,76.9,57.4,1.02,15.36
MilleLacs,-93.6301,45.938,1240,2002-07,6.3,61.6,71.6,81.7,64.7,0.44,15.37
MilleLacs,-93.6301,45.938,1240,2002-08,5.17,56.7,66.3,75.9,60.3,0.38,11.91
MilleLacs,-93.6301,45.938,1240,2002-09,5.75,50.1,60.2,70.3,53.9,0.53,11.38
MilleLacs,-93.6301,45.938,1240,2002-10,3.11,31.1,38.5,45.9,33.9,0.19,4.54
MilleLacs,-93.6301,45.938,1240,2002-11,0.07,21.4,29.2,37.1,23.3,0.27,3.16
MilleLacs,-93.6301,45.938,1240,2002-12,0.39,14.2,21.7,29.2,17.3,0.2,1.82
MilleLacs,-93.6301,45.938,1240,2003-01,0.13,1.7,10.3,19,3.9,0.2,1.64
MilleLacs,-93.6301,45.938,1240,2003-02,0.32,0.1,10.5,21,4.7,0.19,1.59
MilleLacs,-93.6301,45.938,1240,2003-03,0.63,14.9,25.5,36.1,17.8,0.27,4.16
MilleLacs,-93.6301,45.938,1240,2003-04,3.53,30.6,42.1,53.5,29.3,0.77,9.9
MilleLacs,-93.6301,45.938,1240,2003-05,3.62,42.1,54.3,66.4,40.5,0.82,14.49
MilleLacs,-93.6301,45.938,1240,2003-06,6.39,52.4,63.3,74.2,53.6,0.71,14.95
MilleLacs,-93.6301,45.938,1240,2003-07,3.64,57.7,68.7,79.8,60.4,0.52,16.91
MilleLacs,-93.6301,45.938,1240,2003-08,0.55,58.2,70.1,82.1,60.9,0.68,19.56
MilleLacs,-93.6301,45.938,1240,2003-09,3.3,46.4,58.2,69.9,48.6,0.65,14.92
MilleLacs,-93.6301,45.938,1240,2003-10,1.4,35.8,47.1,58.4,37.2,0.62,10.31
MilleLacs,-93.6301,45.938,1240,2003-11,0.94,19.9,27.4,34.9,23.1,0.17,2.43
MilleLacs,-93.6301,45.938,1240,2003-12,0.46,13.7,21.4,29.1,17.9,0.17,1.69
MilleLacs,-93.6301,45.938,1240,2004-01,0.67,-4.3,4.9,14.2,0.9,0.12,1
MilleLacs,-93.6301,45.938,1240,2004-02,0.94,6.5,16.2,25.9,12.9,0.14,1.77
MilleLacs,-93.6301,45.938,1240,2004-03,1.22,20.9,30.1,39.3,25,0.19,3.21
MilleLacs,-93.6301,45.938,1240,2004-04,2.15,29.9,42.9,55.9,28.6,0.56,10.74
MilleLacs,-93.6301,45.938,1240,2004-05,5.35,40.1,50.7,61.4,39,0.92,10.47
MilleLacs,-93.6301,45.938,1240,2004-06,5.19,50.2,60.4,70.6,50.2,0.67,13.73
MilleLacs,-93.6301,45.938,1240,2004-07,3.47,55.3,66.3,77.3,57.9,0.44,15.92
MilleLacs,-93.6301,45.938,1240,2004-08,3.15,50.1,60.9,71.7,53.9,0.29,11.73
MilleLacs,-93.6301,45.938,1240,2004-09,6.25,51.7,62.2,72.8,55.3,0.43,11.95
MilleLacs,-93.6301,45.938,1240,2004-10,2.8,38.3,47.4,56.5,40.3,0.45,6.93
MilleLacs,-93.6301,45.938,1240,2004-11,0.69,26.2,34.5,42.7,28.2,0.29,4.15
MilleLacs,-93.6301,45.938,1240,2004-12,0.71,7.8,16.3,24.7,13.9,0.05,1
MilleLacs,-93.6301,45.938,1240,2005-01,1.49,-3.5,6.4,16.2,3.9,0.12,0.79
MilleLacs,-93.6301,45.938,1240,2005-02,0.72,10.9,20.7,30.5,16.7,0.12,2.36
MilleLacs,-93.6301,45.938,1240,2005-03,0.98,14.3,25.7,37.1,17.4,0.3,4.33
MilleLacs,-93.6301,45.938,1240,2005-04,2.5,34.7,46.9,59.2,33.3,0.9,11.13
MilleLacs,-93.6301,45.938,1240,2005-05,4.82,42.8,52,61.2,42.1,0.61,9.67
MilleLacs,-93.6301,45.938,1240,2005-06,7.79,58.5,68.2,77.9,58.5,1.37,15.73
MilleLacs,-93.6301,45.938,1240,2005-07,1.57,59.2,70.5,81.7,60.9,1.08,19.12
MilleLacs,-93.6301,45.938,1240,2005-08,2.92,54.6,66.7,78.8,57.7,0.56,17.59
MilleLacs,-93.6301,45.938,1240,2005-09,4.24,49.8,61,72.3,53.5,0.59,13
MilleLacs,-93.6301,45.938,1240,2005-10,5.83,37.7,48,58.3,41,0.43,7.67
MilleLacs,-93.6301,45.938,1240,2005-11,2.34,24.4,32.9,41.4,27.8,0.19,3.67
MilleLacs,-93.6301,45.938,1240,2005-12,1.24,11.3,17.5,23.7,14.3,0.14,1.08
MilleLacs,-93.6301,45.938,1240,2006-01,0.43,15.9,23.5,31.1,21.3,0.07,1.59
MilleLacs,-93.6301,45.938,1240,2006-02,0.48,1.8,12.5,23.2,6.2,0.21,1.9
MilleLacs,-93.6301,45.938,1240,2006-03,0.77,21.7,30.4,39,22.3,0.39,3.88
MilleLacs,-93.6301,45.938,1240,2006-04,2.72,34.8,47.6,60.4,33.2,0.66,12.21
MilleLacs,-93.6301,45.938,1240,2006-05,2.74,45.4,56.1,66.8,46.1,0.6,12.69
MilleLacs,-93.6301,45.938,1240,2006-06,2.64,52.9,64.6,76.3,54.1,0.61,16.92
MilleLacs,-93.6301,45.938,1240,2006-07,1.96,59.2,72.5,85.9,60.5,0.83,25.67
MilleLacs,-93.6301,45.938,1240,2006-08,4.66,55.9,67.4,78.9,58.7,0.52,17.55
MilleLacs,-93.6301,45.938,1240,2006-09,1.98,43.7,55.3,66.9,48.4,0.2,11.89
MilleLacs,-93.6301,45.938,1240,2006-10,1.23,31,41.6,52.2,32.6,0.48,7.81
MilleLacs,-93.6301,45.938,1240,2006-11,0.82,22.7,31.9,41.2,25.7,0.28,3.98
MilleLacs,-93.6301,45.938,1240,2006-12,1.28,15.6,23.7,31.8,19,0.15,2.23
MilleLacs,-93.6301,45.938,1240,2007-01,0.55,5.3,14.4,23.5,10.4,0.12,1.46
MilleLacs,-93.6301,45.938,1240,2007-02,1.34,-2,7.9,17.9,1.5,0.16,1.59
MilleLacs,-93.6301,45.938,1240,2007-03,2.24,20.2,30.6,41,24.7,0.15,4.66
MilleLacs,-93.6301,45.938,1240,2007-04,2.92,28.1,40.6,53,27.3,0.53,10.28
MilleLacs,-93.6301,45.938,1240,2007-05,1.57,44.9,57.6,70.3,45.3,0.96,15.09
MilleLacs,-93.6301,45.938,1240,2007-06,2.48,54.8,66.8,78.7,55.4,1.03,19.07
MilleLacs,-93.6301,45.938,1240,2007-07,2.2,57.5,69.7,81.8,58.7,0.78,20.75
MilleLacs,-93.6301,45.938,1240,2007-08,3.4,54.2,66,77.8,57.4,0.44,17.6
MilleLacs,-93.6301,45.938,1240,2007-09,5.85,46.3,58.9,71.6,50.7,0.66,13.47
MilleLacs,-93.6301,45.938,1240,2007-10,5.25,40.7,49.7,58.8,42.6,0.46,7.29
MilleLacs,-93.6301,45.938,1240,2007-11,0.08,23.4,30.8,38.3,22.1,0.65,3.99
MilleLacs,-93.6301,45.938,1240,2007-12,1.4,1.9,10.8,19.7,9.1,0.06,0.84
MilleLacs,-93.6301,45.938,1240,2008-01,0.13,-2.2,8.1,18.3,4.3,0.12,1.21
MilleLacs,-93.6301,45.938,1240,2008-02,0.52,-1.7,9,19.7,4.5,0.14,1.32
MilleLacs,-93.6301,45.938,1240,2008-03,0.94,11.2,22.2,33.2,15.1,0.26,3.36
MilleLacs,-93.6301,45.938,1240,2008-04,4.32,28.4,38.8,49.1,29.1,0.4,7.37
MilleLacs,-93.6301,45.938,1240,2008-05,3.38,39.5,50.9,62.3,36.8,0.93,12.13
MilleLacs,-93.6301,45.938,1240,2008-06,5.55,52,62.5,73.1,51,0.94,15.74
MilleLacs,-93.6301,45.938,1240,2008-07,4.25,56.4,68,79.5,57.4,0.9,18.28
MilleLacs,-93.6301,45.938,1240,2008-08,3.84,53,65.8,78.6,56.4,0.57,17.97
MilleLacs,-93.6301,45.938,1240,2008-09,3.2,47.2,58.3,69.4,51.3,0.5,11.27
MilleLacs,-93.6301,45.938,1240,2008-10,2.88,35.9,45.6,55.3,37.6,0.41,6.97
MilleLacs,-93.6301,45.938,1240,2008-11,1.21,23.6,31.5,39.4,25.7,0.31,3.69
MilleLacs,-93.6301,45.938,1240,2008-12,2.21,-4.2,7,18.2,4.2,0.07,0.95
MilleLacs,-93.6301,45.938,1240,2009-01,0.4,-14.3,-0.9,12.5,-3.6,0.08,0.97
MilleLacs,-93.6301,45.938,1240,2009-02,1.05,4.2,14.8,25.4,10.6,0.17,1.84
MilleLacs,-93.6301,45.938,1240,2009-03,3.67,15.3,25.3,35.4,18.6,0.28,3.39
MilleLacs,-93.6301,45.938,1240,2009-04,1.72,30.7,41.6,52.4,26.8,0.89,9.25
MilleLacs,-93.6301,45.938,1240,2009-05,0.86,39.5,53.1,66.8,37.8,0.92,15.7
MilleLacs,-93.6301,45.938,1240,2009-06,2.62,50.7,62,73.4,51,0.75,16.34
MilleLacs,-93.6301,45.938,1240,2009-07,6.58,52.6,63.5,74.4,53.7,0.75,15.26
MilleLacs,-93.6301,45.938,1240,2009-08,4.76,53.1,64,74.9,56.3,0.43,14.12
MilleLacs,-93.6301,45.938,1240,2009-09,0.82,50.4,62.3,74.2,54.3,0.44,14.23
MilleLacs,-93.6301,45.938,1240,2009-10,5.92,33,39.7,46.5,35.6,0.21,3.51
MilleLacs,-93.6301,45.938,1240,2009-11,0.42,28.2,37.5,46.7,31.1,0.32,4.84
MilleLacs,-93.6301,45.938,1240,2009-12,1.62,5.6,13.1,20.5,9.3,0.16,1.19
MilleLacs,-93.6301,45.938,1240,2010-01,0.43,-0.8,8.5,17.9,4.4,0.14,1.08
MilleLacs,-93.6301,45.938,1240,2010-02,0.4,2.7,14.5,26.3,6.5,0.33,2.54
MilleLacs,-93.6301,45.938,1240,2010-03,1.1,25.3,36.1,47,26,0.58,6.04
MilleLacs,-93.6301,45.938,1240,2010-04,1.56,35.4,49,62.6,31.7,1.01,13.3
MilleLacs,-93.6301,45.938,1240,2010-05,4.25,43.6,55.4,67.2,43.1,0.78,15.73
MilleLacs,-93.6301,45.938,1240,2010-06,5.03,54,63.6,73.3,55.8,0.5,12.7
MilleLacs,-93.6301,45.938,1240,2010-07,5.34,59.1,69.9,80.7,61.2,1.1,16.97
MilleLacs,-93.6301,45.938,1240,2010-08,8.92,59.5,69.8,80.2,62.1,0.74,15.56
MilleLacs,-93.6301,45.938,1240,2010-09,4.11,44.8,54.6,64.3,47.9,0.47,8.88
MilleLacs,-93.6301,45.938,1240,2010-10,5.12,36.3,48.5,60.7,37.7,0.52,10.76
MilleLacs,-93.6301,45.938,1240,2010-11,1.36,22.6,31.4,40.2,24.2,0.44,4.51
MilleLacs,-93.6301,45.938,1240,2010-12,2.11,4.5,12.5,20.5,8.3,0.2,1.11
Fillmore,-92.0902,43.674,1040,2000-01,1.17,5.3,15.3,25.3,11.8,0.13,1.6
Fillmore,-92.0902,43.674,1040,2000-02,0.86,17.6,26.7,35.9,22.9,0.14,2.64
Fillmore,-92.0902,43.674,1040,2000-03,1.34,28.8,39.6,50.4,30.9,0.43,7
Fillmore,-92.0902,43.674,1040,2000-04,0.85,34.1,45.6,57.1,31.1,1.11,11.31
Fillmore,-92.0902,43.674,1040,2000-05,6.77,48.2,59.2,70.2,47.6,0.97,14.65
Fillmore,-92.0902,43.674,1040,2000-06,11.55,55.1,65,74.8,55,1.48,15.07
Fillmore,-92.0902,43.674,1040,2000-07,4.8,59.7,69.5,79.3,61.7,0.56,15.19
Fillmore,-92.0902,43.674,1040,2000-08,5.16,59,69.2,79.4,62.3,0.54,14.61
Fillmore,-92.0902,43.674,1040,2000-09,1.46,48.2,60.4,72.5,49,1.21,15.7
Fillmore,-92.0902,43.674,1040,2000-10,1.12,39,51,62.9,40.6,0.5,11.2
Fillmore,-92.0902,43.674,1040,2000-11,2.58,23.9,31.4,38.8,26.5,0.25,3.24
Fillmore,-92.0902,43.674,1040,2000-12,1.81,-0.8,7.1,15,3.9,0.13,0.86
Fillmore,-92.0902,43.674,1040,2001-01,1.08,8.4,17.3,26.2,14.9,0.05,1.26
Fillmore,-92.0902,43.674,1040,2001-02,1.02,2.3,12.3,22.3,8.8,0.13,1.17
Fillmore,-92.0902,43.674,1040,2001-03,1.09,17.1,25.9,34.8,20.4,0.3,2.76
Fillmore,-92.0902,43.674,1040,2001-04,5.02,38.4,48.6,58.8,37.3,1.15,9.69
Fillmore,-92.0902,43.674,1040,2001-05,5.71,48,58.3,68.6,47.3,1.11,13.89
Fillmore,-92.0902,43.674,1040,2001-06,3.18,55.1,65.8,76.4,55.2,1.16,17.52
Fillmore,-92.0902,43.674,1040,2001-07,1.68,59.4,71.8,84.1,60.6,1.17,22.43
Fillmore,-92.0902,43.674,1040,2001-08,3.93,60.4,71.4,82.5,62.1,1.43,19.09
Fillmore,-92.0902,43.674,1040,2001-09,4.27,47.7,58.9,70,50,0.76,12.78
Fillmore,-92.0902,43.674,1040,2001-10,1.86,35.7,47,58.3,36.9,0.69,9.77
Fillmore,-92.0902,43.674,1040,2001-11,1.16,36.3,46.4,56.6,37.5,0.73,8.07
Fillmore,-92.0902,43.674,1040,2001-12,0.96,20,28.4,36.8,23.5,0.28,2.84
Fillmore,-92.0902,43.674,1040,2002-01,0.21,16.6,25.3,34,18.8,0.41,3.22
Fillmore,-92.0902,43.674,1040,2002-02,2.42,20.2,28.7,37.1,21.2,0.51,3.44
Fillmore,-92.0902,43.674,1040,2002-03,1.6,17.9,26.8,35.7,17.5,0.57,3.9
Fillmore,-92.0902,43.674,1040,2002-04,3.97,35.8,45.7,55.6,34.3,1.1,10.01
Fillmore,-92.0902,43.674,1040,2002-05,2.34,42.4,54.4,66.4,39.2,1.65,14.98
Fillmore,-92.0902,43.674,1040,2002-06,7.66,58.4,68.9,79.3,58.2,1.49,18.4
Fillmore,-92.0902,43.674,1040,2002-07,3.1,63.3,73.8,84.3,64.1,1.33,19.74
Fillmore,-92.0902,43.674,1040,2002-08,3.37,57.4,68.2,79.1,60.9,0.64,15.03
Fillmore,-92.0902,43.674,1040,2002-09,2.04,49.9,62.4,75,53.2,0.64,16.42
Fillmore,-92.0902,43.674,1040,2002-10,3.05,33.4,43.4,53.3,35.8,0.43,7.28
Fillmore,-92.0902,43.674,1040,2002-11,0.26,22.7,32.3,41.9,25.3,0.21,4.5
Fillmore,-92.0902,43.674,1040,2002-12,0.41,16,25,33.9,20,0.17,2.56
Fillmore,-92.0902,43.674,1040,2003-01,0.53,5,14,23.1,8.4,0.18,1.95
Fillmore,-92.0902,43.674,1040,2003-02,0.55,3.8,15.3,26.9,11.2,0.11,1.94
Fillmore,-92.0902,43.674,1040,2003-03,2.21,21.9,31.5,41.1,24.4,0.32,4.84
Fillmore,-92.0902,43.674,1040,2003-04,2.24,33.5,45.3,57,33.1,1,11.08
Fillmore,-92.0902,43.674,1040,2003-05,4.38,43.2,54.9,66.6,41.8,0.93,14.36
Fillmore,-92.0902,43.674,1040,2003-06,3.3,52.6,64.5,76.5,52.3,1,18.76
Fillmore,-92.0902,43.674,1040,2003-07,2.82,58.8,69.9,81,60.3,0.75,18.83
Fillmore,-92.0902,43.674,1040,2003-08,0.72,57.2,70.7,84.3,60.7,0.3,22.83
Fillmore,-92.0902,43.674,1040,2003-09,2.28,46.6,59.7,72.7,46.4,1.23,18.55
Fillmore,-92.0902,43.674,1040,2003-10,0.42,34.2,47.5,60.9,36.2,0.46,12.45
Fillmore,-92.0902,43.674,1040,2003-11,2.23,25.1,32.8,40.5,26.6,0.39,3.63
Fillmore,-92.0902,43.674,1040,2003-12,0.91,18.1,25.5,32.8,21.7,0.16,2.09
Fillmore,-92.0902,43.674,1040,2004-01,0.43,4.7,13.1,21.5,5.5,0.37,1.81
Fillmore,-92.0902,43.674,1040,2004-02,1.42,11.8,20,28.2,15.8,0.19,1.75
Fillmore,-92.0902,43.674,1040,2004-03,2.93,29.2,36.4,43.5,31.2,0.32,3.43
Fillmore,-92.0902,43.674,1040,2004-04,2.02,32.2,46.4,60.6,33.1,0.53,13
Fillmore,-92.0902,43.674,1040,2004-05,8.07,44.3,55.7,67.1,46.4,0.56,11.75
Fillmore,-92.0902,43.674,1040,2004-06,11.65,52.4,63.5,74.7,54,0.27,15.79
Fillmore,-92.0902,43.674,1040,2004-07,4.75,57.5,68.3,79,60.5,0.37,16.19
Fillmore,-92.0902,43.674,1040,2004-08,3.23,52.8,63.5,74.2,56.9,0.19,12.6
Fillmore,-92.0902,43.674,1040,2004-09,6.07,50.6,63.5,76.4,55.1,0.41,16.1
Fillmore,-92.0902,43.674,1040,2004-10,2.18,37.2,48.3,59.4,41.4,0.19,8.66
Fillmore,-92.0902,43.674,1040,2004-11,1.57,27.7,36.8,46,31.1,0.21,4.84
Fillmore,-92.0902,43.674,1040,2004-12,0.97,12.8,21.9,31,18.4,0.02,1.9
Fillmore,-92.0902,43.674,1040,2005-01,1.28,6.8,14.7,22.6,11.8,0.11,1.17
Fillmore,-92.0902,43.674,1040,2005-02,1.49,19.4,26.7,34.1,22.9,0.21,2.24
Fillmore,-92.0902,43.674,1040,2005-03,2.47,19.5,29.4,39.4,22.4,0.32,4.49
Fillmore,-92.0902,43.674,1040,2005-04,2.2,37.1,49.4,61.6,37.1,0.97,11.65
Fillmore,-92.0902,43.674,1040,2005-05,3.74,42.4,53,63.7,42.6,0.44,11.35
Fillmore,-92.0902,43.674,1040,2005-06,5.19,58.9,70.1,81.4,58.9,1.1,20.04
Fillmore,-92.0902,43.674,1040,2005-07,6.32,60.7,71.8,82.9,61.6,1.22,20.07
Fillmore,-92.0902,43.674,1040,2005-08,5.31,56.3,67.8,79.2,59.5,0.78,16.34
Fillmore,-92.0902,43.674,1040,2005-09,6.01,51.3,63.7,76.1,54.3,0.59,16.55
Fillmore,-92.0902,43.674,1040,2005-10,0.5,37.7,50,62.3,41.2,0.44,10.88
Fillmore,-92.0902,43.674,1040,2005-11,1.69,25.1,35.2,45.4,29.7,0.14,4.88
Fillmore,-92.0902,43.674,1040,2005-12,0.76,8.5,16,23.4,14.3,0,1.06
Fillmore,-92.0902,43.674,1040,2006-01,0.55,20.8,27.9,35.1,24.6,0.04,2.22
Fillmore,-92.0902,43.674,1040,2006-02,0.51,8.4,18.7,29,12.7,0.19,2.6
Fillmore,-92.0902,43.674,1040,2006-03,3.3,22.9,31.5,40.1,25.4,0.29,3.76
Fillmore,-92.0902,43.674,1040,2006-04,7.23,37.9,49.8,61.7,36.2,0.84,12.69
Fillmore,-92.0902,43.674,1040,2006-05,3.7,46.6,57,67.4,48.3,0.34,12.38
Fillmore,-92.0902,43.674,1040,2006-06,3.68,54.5,66.1,77.7,55.8,0.34,18.12
Fillmore,-92.0902,43.674,1040,2006-07,2.51,61.9,73.5,85,64.9,0.43,19.96
Fillmore,-92.0902,43.674,1040,2006-08,5.62,59.3,69.4,79.5,62.8,0.28,14.79
Fillmore,-92.0902,43.674,1040,2006-09,3.41,45.4,56.5,67.6,49.4,0.02,11.92
Fillmore,-92.0902,43.674,1040,2006-10,0.79,32.7,43.9,55,35,0.45,8.78
Fillmore,-92.0902,43.674,1040,2006-11,1.71,27.5,36.7,45.8,29.8,0.34,4.9
Fillmore,-92.0902,43.674,1040,2006-12,1.28,20,27.8,35.6,22.9,0.17,2.55
Fillmore,-92.0902,43.674,1040,2007-01,1.26,10.7,19.2,27.8,15.1,0.15,1.8
Fillmore,-92.0902,43.674,1040,2007-02,2.63,0.5,9.3,18.1,5.3,0.09,1.36
Fillmore,-92.0902,43.674,1040,2007-03,1.46,24.7,34.6,44.4,29.4,0.12,4.93
Fillmore,-92.0902,43.674,1040,2007-04,3.03,33.2,43.8,54.5,30.9,0.93,10.48
Fillmore,-92.0902,43.674,1040,2007-05,3.39,48.4,60.8,73.1,46.9,1.42,17.49
Fillmore,-92.0902,43.674,1040,2007-06,4.24,56.2,67.5,78.9,56.1,1.08,18.92
Fillmore,-92.0902,43.674,1040,2007-07,3.98,57.5,70,82.5,59.2,0.8,21.13
Fillmore,-92.0902,43.674,1040,2007-08,14.9,59.4,69.5,79.5,61.8,0.58,15.81
Fillmore,-92.0902,43.674,1040,2007-09,2.66,48.6,61.8,74.9,51.8,0.54,16.94
Fillmore,-92.0902,43.674,1040,2007-10,4.84,43.8,53.4,63,44.9,0.83,9.77
Fillmore,-92.0902,43.674,1040,2007-11,0.3,23.4,33,42.5,24.5,0.52,4.97
Fillmore,-92.0902,43.674,1040,2007-12,1.99,8.9,16.8,24.6,13.3,0.23,1.33
Fillmore,-92.0902,43.674,1040,2008-01,0.93,3.2,11.9,20.7,7.8,0.24,1.29
Fillmore,-92.0902,43.674,1040,2008-02,0.93,2.8,12.4,21.9,8.1,0.24,1.45
Fillmore,-92.0902,43.674,1040,2008-03,0.79,16.8,26.5,36.2,19.1,0.41,3.72
Fillmore,-92.0902,43.674,1040,2008-04,7.67,33.3,43.1,52.8,33.5,0.62,7.9
Fillmore,-92.0902,43.674,1040,2008-05,3.29,41.3,54,66.6,38,1.37,15.65
Fillmore,-92.0902,43.674,1040,2008-06,8.6,54.2,65.8,77.3,52.5,1.4,20
Fillmore,-92.0902,43.674,1040,2008-07,2.64,59.4,71.2,83,58.8,1.64,22.81
Fillmore,-92.0902,43.674,1040,2008-08,3.67,54.2,67.5,80.8,58.5,0.49,20.04
Fillmore,-92.0902,43.674,1040,2008-09,1.45,50,62.1,74.1,52.7,0.63,16.12
Fillmore,-92.0902,43.674,1040,2008-10,1.94,36,48.1,60.1,38,0.47,10.74
Fillmore,-92.0902,43.674,1040,2008-11,1.79,25.9,34.8,43.8,27.9,0.37,5.18
Fillmore,-92.0902,43.674,1040,2008-12,1.96,1.8,13.2,24.5,9.9,0.16,1.4
Fillmore,-92.0902,43.674,1040,2009-01,0.65,-5.4,6,17.3,2.6,0.11,1.19
Fillmore,-92.0902,43.674,1040,2009-02,0.97,10.7,21,31.2,15.8,0.23,2.53
Fillmore,-92.0902,43.674,1040,2009-03,0.58,21.7,32.1,42.5,23.9,0.4,5.02
Fillmore,-92.0902,43.674,1040,2009-04,2.9,32.2,44.6,57.1,28.8,0.91,11.46
Fillmore,-92.0902,43.674,1040,2009-05,4.13,45.4,56.7,68,42.2,1.55,15.09
Fillmore,-92.0902,43.674,1040,2009-06,4.13,54.5,65.3,76.1,53.4,1.23,17.92
Fillmore,-92.0902,43.674,1040,2009-07,2.37,54.4,65.3,76.2,55.9,0.75,16.29
Fillmore,-92.0902,43.674,1040,2009-08,4.22,54.5,65.8,77,58.9,0.49,15.09
Fillmore,-92.0902,43.674,1040,2009-09,1.55,48.2,61.6,75,54.7,0.04,15.41
Fillmore,-92.0902,43.674,1040,2009-10,7.2,34.5,42.8,51.1,37.6,0.23,5.06
Fillmore,-92.0902,43.674,1040,2009-11,0.48,30.5,41.1,51.7,33.6,0.36,6.91
Fillmore,-92.0902,43.674,1040,2009-12,2.77,9.4,17.5,25.6,14.5,0.17,1.48
Fillmore,-92.0902,43.674,1040,2010-01,0.53,2.8,11.2,19.7,7.7,0.13,1.06
Fillmore,-92.0902,43.674,1040,2010-02,0.77,3.6,15.4,27.2,11.1,0.16,2.19
Fillmore,-92.0902,43.674,1040,2010-03,0.74,25.4,37,48.7,27.7,0.34,6.98
Fillmore,-92.0902,43.674,1040,2010-04,2.37,38.1,51.6,65,35.8,1.25,14.81
Fillmore,-92.0902,43.674,1040,2010-05,3.79,46.4,58,69.7,44.1,1.28,17.44
Fillmore,-92.0902,43.674,1040,2010-06,9.48,56.7,67.4,78.1,58.6,0.62,16.24
Fillmore,-92.0902,43.674,1040,2010-07,5.39,62.5,72.9,83.4,64.4,0.96,19.01
Fillmore,-92.0902,43.674,1040,2010-08,3.29,62.5,73.4,84.3,65.2,0.8,19.15
Fillmore,-92.0902,43.674,1040,2010-09,9.06,47.2,59.1,71,51,0.44,13.56
Fillmore,-92.0902,43.674,1040,2010-10,1.14,35.6,50.7,65.8,39.1,0.03,14.8
Fillmore,-92.0902,43.674,1040,2010-11,2.69,25.6,35,44.4,28.2,0.41,5.09
Fillmore,-92.0902,43.674,1040,2010-12,3.39,7.2,15.3,23.4,13.3,0.09,0.99
LacquiParle,-96.1735,44.9955,1076,2000-01,0.37,1.5,13.5,25.5,5.9,0.45,2.26
LacquiParle,-96.1735,44.9955,1076,2000-02,0.65,16.6,26,35.4,18.2,0.8,3.31
